time,temp,icon,precip,wind360,windSpeed,humidity,pressure,solar1,solar2,solar3,solar
6,17,100,0.0,270,1,62,995,2.239475965499878,1.7718360424041748,1.8289920091629028,2.364180088043213
7,19,101,0.0,90,2,56,997,6.469019889831543,6.040349960327148,6.1468682289123535,6.78857421875
8,21,101,0.0,315,1,49,996,14.517623901367188,15.154133796691895,14.717670440673828,14.263019561767578
9,22,100,0.0,90,6,49,997,26.915279388427734,29.44573211669922,28.198692321777344,26.421659469604492
11,24,100,0.0,45,14,35,996,43.51649856567383,46.85752868652344,46.03656005859375,43.88801574707031
12,25,100,0.0,45,14,27,996,46.252193450927734,49.56724166870117,47.17708206176758,40.34693908691406
13,26,100,0.0,225,4,28,995,45.25716018676758,48.12275314331055,45.91445541381836,40.70286560058594
14,27,100,0.0,45,4,25,995,40.95746994018555,43.363216400146484,44.358253479003906,43.048858642578125
15,28,100,0.0,90,21,25,994,33.40508270263672,35.6523551940918,11.937809944152832,35.95372009277344
16,28,100,0.0,90,11,26,994,21.332178115844727,23.226119995117188,20.11111831665039,23.023475646972656
17,28,100,0.0,90,15,22,993,8.305806159973145,10.32445240020752,10.823267936706543,10.015290260314941
18,27,100,0.0,135,16,25,993,2.283642053604126,2.2342801094055176,4.008714199066162,1.8627660274505615
19,26,100,0.0,135,8,27,994,0.16107599437236786,0.09352800250053406,0.1688700020313263,0.29097598791122437
20,24,100,0.0,135,9,34,994,0.16107599437236786,0.09352800250053406,0.1688700020313263,0.29097598791122437
21,22,100,0.0,270,7,41,995,0.16107599437236786,0.09352800250053406,0.1688700020313263,0.29097598791122437
22,21,100,0.0,270,4,45,996,0.16107599437236786,0.09352800250053406,0.1688700020313263,0.29097598791122437
23,21,100,0.0,270,4,47,996,0.16107599437236786,0.09352800250053406,0.1688700020313263,0.29097598791122437
0,20,100,0.0,0,5,48,996,0.0675479993224144,0.0,0.0,0.0
1,21,100,0.0,315,5,49,996,0.0675479993224144,0.0,0.0,0.0
2,20,100,0.0,180,4,51,995,0.0675479993224144,0.0,0.0,0.0
3,19,100,0.0,315,6,56,995,0.0675479993224144,0.0,0.0,0.0
4,19,100,0.0,315,8,60,995,0.0675479993224144,0.0,0.0,0.0
5,18,101,0.0,315,9,64,995,0.0675479993224144,0.6183239817619324,0.0,0.0
6,18,101,0.0,315,17,64,995,2.364180088043213,2.239475965499878,1.7718360424041748,6.167652130126953
7,19,100,0.0,45,8,66,997,6.78857421875,6.469019889831543,6.040349960327148,8.1525239944458
8,19,101,0.0,0,6,65,996,14.263019561767578,14.517623901367188,15.154133796691895,10.199748039245605
9,21,101,0.0,45,6,60,996,26.421659469604492,26.915279388427734,29.44573211669922,9.669755935668945
11,21,104,1.0,0,10,59,995,43.88801574707031,43.51649856567383,46.85752868652344,18.261341094970703
12,23,104,0.0,45,8,52,995,40.34693908691406,46.252193450927734,49.56724166870117,45.566322326660156
13,24,104,0.0,90,6,50,995,40.70286560058594,45.25716018676758,48.12275314331055,30.435569763183594
14,24,104,0.0,225,4,51,995,43.048858642578125,40.95746994018555,43.363216400146484,4.790711879730225
15,23,305,0.0,0,19,60,995,35.95372009277344,33.40508270263672,35.6523551940918,6.557352066040039
16,23,302,0.0,0,10,59,995,23.023475646972656,21.332178115844727,23.226119995117188,1.1665019989013672
17,23,305,0.0,0,1,57,996,10.015290260314941,8.305806159973145,10.32445240020752,2.5876080989837646
18,23,104,0.0,135,8,59,995,1.8627660274505615,2.283642053604126,2.2342801094055176,2.603195905685425
19,22,104,0.0,135,9,69,995,0.29097598791122437,0.16107599437236786,0.09352800250053406,-0.05455800145864487
20,21,104,0.0,135,13,76,996,0.29097598791122437,0.16107599437236786,0.09352800250053406,-0.05455800145864487
21,21,104,0.0,135,3,80,996,0.29097598791122437,0.16107599437236786,0.09352800250053406,-0.05455800145864487
22,21,104,0.0,0,7,76,996,0.29097598791122437,0.16107599437236786,0.09352800250053406,-0.05455800145864487
23,20,104,0.0,0,10,76,997,0.29097598791122437,0.16107599437236786,0.09352800250053406,-0.05455800145864487
0,18,104,0.0,0,15,81,996,0.0,0.0675479993224144,0.0,0.0337739996612072
1,18,104,0.0,315,4,81,997,0.0,0.0675479993224144,0.0,0.0337739996612072
2,18,104,0.0,0,2,85,997,0.0,0.0675479993224144,0.0,0.0337739996612072
3,17,101,0.0,180,9,85,997,0.0,0.0675479993224144,0.0,0.0337739996612072
4,18,101,0.0,135,7,82,998,0.0,0.0675479993224144,0.0,0.0337739996612072
5,18,104,0.0,270,4,83,999,0.0,0.0675479993224144,0.6183239817619324,0.0337739996612072
6,18,104,0.0,315,6,82,999,6.167652130126953,2.364180088043213,2.239475965499878,1.5665940046310425
7,18,104,0.0,0,12,81,1000,8.1525239944458,6.78857421875,6.469019889831543,1.6315439939498901
8,19,101,0.0,0,10,81,1001,10.199748039245605,14.263019561767578,14.517623901367188,9.20991039276123
9,19,502,0.0,315,12,76,1001,9.669755935668945,26.421659469604492,26.915279388427734,23.11440658569336
11,23,100,0.0,0,11,59,1000,18.261341094970703,43.88801574707031,43.51649856567383,34.33256912231445
