time,temp,icon,precip,wind360,windSpeed,humidity,pressure,load1,load2,load3,load
15,27,100,0.0,135,7,48,997,6.6768598556518555,5.518152236938477,9.430740356445312,4.317875862121582
16,27,100,0.0,135,24,50,997,7.310771942138672,9.945143699645996,5.029727935791016,4.759535789489746
17,26,100,0.0,135,17,52,995,6.687252044677734,9.8568115234375,8.16291618347168,4.442580223083496
18,26,100,0.0,180,14,55,994,3.938568115234375,6.5521559715271,8.012231826782227,3.1279919147491455
19,26,100,0.0,90,11,55,993,5.559720039367676,6.619703769683838,5.803932189941406,2.9357399940490723
20,26,100,0.0,90,18,55,994,4.156799793243408,7.315968036651611,3.3670079708099365,3.974940061569214
21,26,100,0.0,45,10,56,995,4.156799793243408,6.209219932556152,3.2423040866851807,3.7930800914764404
22,25,100,0.0,90,23,56,996,8.110956192016602,6.349512100219727,2.99809193611145,1.6575239896774292
23,20,101,0.0,45,29,68,996,5.0141401290893555,4.61924409866333,2.99809193611145,1.6575239896774292
0,20,305,0.0,180,7,71,997,2.494080066680908,4.07366418838501,1.7770320177078247,1.7822279930114746
1,19,305,0.1,315,10,87,996,2.494080066680908,3.320244073867798,1.7770320177078247,1.7822279930114746
2,19,101,0.0,0,7,88,996,2.494080066680908,3.320244073867798,1.7770320177078247,1.7822279930114746
3,19,101,0.0,315,18,88,996,2.494080066680908,3.320244073867798,1.7770320177078247,1.7822279930114746
4,21,100,0.0,0,9,75,995,2.494080066680908,3.320244073867798,1.7770320177078247,1.7822279930114746
5,19,100,0.0,0,9,85,994,2.494080066680908,3.320244073867798,1.7770320177078247,1.7822279930114746
6,19,101,0.0,0,4,87,994,2.494080066680908,3.3773999214172363,1.7770320177078247,1.7822279930114746
7,19,100,0.0,0,8,82,995,2.8889760971069336,6.9418559074401855,1.7770320177078247,2.4109439849853516
8,20,101,0.0,0,14,75,994,4.868651866912842,12.101484298706055,1.9485000371932983,6.011772155761719
9,21,101,0.0,0,8,72,995,5.424623966217041,7.6329240798950195,2.530452013015747,6.271572113037109
11,25,101,0.0,135,5,59,993,7.669295787811279,5.424623966217041,4.530911922454834,6.837935924530029
12,26,101,0.0,135,12,57,993,1.9952640533447266,3.8450400829315186,3.689160108566284,5.897459983825684
13,27,101,0.0,0,7,55,993,2.556432008743286,3.4293599128723145,3.699552059173584,7.91350793838501
14,28,101,0.0,45,3,52,992,3.7307279109954834,6.827544212341309,3.8554320335388184,8.931923866271973
15,28,101,0.0,270,3,53,992,4.317875862121582,6.6768598556518555,5.518152236938477,10.366020202636719
16,27,101,0.0,0,16,63,992,4.759535789489746,7.310771942138672,9.945143699645996,8.277228355407715
17,26,101,0.0,0,12,64,992,4.442580223083496,6.687252044677734,9.8568115234375,8.13693618774414
18,26,101,0.0,0,8,66,991,3.1279919147491455,3.938568115234375,6.5521559715271,3.1124041080474854
19,25,101,0.0,0,7,66,992,2.9357399940490723,5.559720039367676,6.619703769683838,3.1124041080474854
20,23,101,0.0,0,11,71,994,3.974940061569214,4.156799793243408,7.315968036651611,3.6060240268707275
21,23,101,0.0,45,9,74,994,3.7930800914764404,4.156799793243408,6.209219932556152,3.6060240268707275
22,22,502,0.0,315,12,77,995,1.6575239896774292,8.110956192016602,6.349512100219727,6.0845160484313965
23,21,101,0.0,315,10,84,996,1.6575239896774292,5.0141401290893555,4.61924409866333,4.541304111480713
0,21,101,0.0,0,5,83,997,1.7822279930114746,2.494080066680908,4.07366418838501,1.6938960552215576
1,21,101,0.0,315,6,80,997,1.7822279930114746,2.494080066680908,3.320244073867798,1.6938960552215576
2,20,101,0.0,90,1,84,997,1.7822279930114746,2.494080066680908,3.320244073867798,1.6938960552215576
3,19,101,0.0,315,7,85,997,1.7822279930114746,2.494080066680908,3.320244073867798,1.6938960552215576
4,19,101,0.0,225,3,84,997,1.7822279930114746,2.494080066680908,3.320244073867798,1.6938960552215576
5,19,101,0.0,0,8,82,996,1.7822279930114746,2.494080066680908,3.320244073867798,1.6938960552215576
6,20,100,0.0,0,32,60,997,1.7822279930114746,2.494080066680908,3.3773999214172363,1.6938960552215576
